id,parent_id,name,created_at,updated_at
"100000","000000",类目,2016/10/1,2016/10/1
"110000","100000",餐饮,2016/10/1,2016/10/1
"110100","110000",中餐,2016/10/1,2016/10/1
"110101","110100",川菜,2016/10/1,2016/10/1
"110102","110100",湘菜,2016/10/1,2016/10/1
"110103","110100",鲁菜,2016/10/1,2016/10/1
"110104","110100",苏菜,2016/10/1,2016/10/1
"110105","110100",浙菜,2016/10/1,2016/10/1
"110106","110100",闽菜,2016/10/1,2016/10/1
"110107","110100",湘菜,2016/10/1,2016/10/1
"110108","110100",徽菜,2016/10/1,2016/10/1
"110109","110100",东北菜,2016/10/1,2016/10/1
"110110","110100",西北菜,2016/10/1,2016/10/1
"110111","110100",台湾菜,2016/10/1,2016/10/1
"110112","110100",海鲜,2016/10/1,2016/10/1
"110113","110100",烧烤/水煮鱼,2016/10/1,2016/10/1
"110114","110100",麻辣烫/串串,2016/10/1,2016/10/1
"110115","110100",其他,2016/10/1,2016/10/1
"110200","110000",西餐,2016/10/1,2016/10/1
"110201","110200",法式西餐,2016/10/1,2016/10/1
"110202","110200",意式西餐,2016/10/1,2016/10/1
"110203","110200",地中海式,2016/10/1,2016/10/1
"110204","110200",其他,2016/10/1,2016/10/1
"110300","110000",火锅,2016/10/1,2016/10/1
"110301","110300",川渝火锅,2016/10/1,2016/10/1
"110302","110300",豆捞,2016/10/1,2016/10/1
"110303","110300",老北京涮羊肉,2016/10/1,2016/10/1
"110304","110300",炭火锅,2016/10/1,2016/10/1
"110305","110300",羊蝎子,2016/10/1,2016/10/1
"110306","110300",鱼火锅,2016/10/1,2016/10/1
"110307","110300",云南滇味火锅,2016/10/1,2016/10/1
"110308","110300",其他,2016/10/1,2016/10/1
"110400","110000",快餐,2016/10/1,2016/10/1
"110401","110400",西式快餐,2016/10/1,2016/10/1
"110402","110400",中式快餐,2016/10/1,2016/10/1
"110403","110400",其他,2016/10/1,2016/10/1
"110500","110000",烧烤,2016/10/1,2016/10/1
"110501","110500",拉美烧烤,2016/10/1,2016/10/1
"110502","110500",中式烧烤,2016/10/1,2016/10/1
"110503","110500",铁板烧,2016/10/1,2016/10/1
"110504","110500",其他,2016/10/1,2016/10/1
"110600","110000",特色美食,2016/10/1,2016/10/1
"110601","110600",东南亚菜,2016/10/1,2016/10/1
"110602","110600",日韩料理,2016/10/1,2016/10/1
"110603","110600",营养餐,2016/10/1,2016/10/1
"110604","110600",素食,2016/10/1,2016/10/1
"110605","110600",自助餐,2016/10/1,2016/10/1
"110606","110600",农家乐,2016/10/1,2016/10/1
"110607","110600",其他,2016/10/1,2016/10/1
"110700","110000",汤类/粥类/煲类/炖菜,2016/10/1,2016/10/1
"110701","110700",汤类,2016/10/1,2016/10/1
"110702","110700",粥类,2016/10/1,2016/10/1
"110703","110700",砂锅/汤锅/干锅,2016/10/1,2016/10/1
"110704","110700",煲类,2016/10/1,2016/10/1
"110705","110700",炖菜,2016/10/1,2016/10/1
"110706","110700",其他,2016/10/1,2016/10/1
"110800","110000",面点熟食,2016/10/1,2016/10/1
"110801","110800",面食,2016/10/1,2016/10/1
"110802","110800",西式面点,2016/10/1,2016/10/1
"110803","110800",中式面点,2016/10/1,2016/10/1
"110804","110800",熟食/卤味,2016/10/1,2016/10/1
"110805","110800",其他,2016/10/1,2016/10/1
"110900","110000",休闲茶饮,2016/10/1,2016/10/1
"110901","110900",冰淇淋,2016/10/1,2016/10/1
"110902","110900",酒类,2016/10/1,2016/10/1
"110903","110900",咖啡,2016/10/1,2016/10/1
"110904","110900",奶茶,2016/10/1,2016/10/1
"110905","110900",饮品/甜点,2016/10/1,2016/10/1
"110906","110900",其他,2016/10/1,2016/10/1
"111000","110000",其他,2016/10/1,2016/10/1
"120000","100000",零售,2016/10/1,2016/10/1
"120100","120000",超市便利店,2016/10/1,2016/10/1
"120101","120100",超市,2016/10/1,2016/10/1
"120102","120100",便利店,2016/10/1,2016/10/1
"120103","120100",烟酒杂货,2016/10/1,2016/10/1
"120104","120100",其他,2016/10/1,2016/10/1
"120200","120000",休闲食品,2016/10/1,2016/10/1
"120201","120200",零食,2016/10/1,2016/10/1
"120202","120200",生鲜水果,2016/10/1,2016/10/1
"120203","120200",特产/炒货,2016/10/1,2016/10/1
"120204","120200",其他,2016/10/1,2016/10/1
"120300","120000",电子产品,2016/10/1,2016/10/1
"120301","120300",手机/通讯设备,2016/10/1,2016/10/1
"120302","120300",电脑,2016/10/1,2016/10/1
"120303","120300",摄影器材,2016/10/1,2016/10/1
"120304","120300",配件/外设,2016/10/1,2016/10/1
"120305","120300",其他,2016/10/1,2016/10/1
"120400","120000",家纺家具,2016/10/1,2016/10/1
"120402","120400",装修建材,2016/10/1,2016/10/1
"120403","120400",家纺/装饰,2016/10/1,2016/10/1
"120404","120400",家具家居,2016/10/1,2016/10/1
"120405","120400",厨卫洁具,2016/10/1,2016/10/1
"120406","120400",其他,2016/10/1,2016/10/1
"120500","120000",家用电器,2016/10/1,2016/10/1
"120600","120000",服饰/鞋包,2016/10/1,2016/10/1
"120700","120000",珠宝首饰,2016/10/1,2016/10/1
"120800","120000",钟表,2016/10/1,2016/10/1
"120900","120000",化妆品/护肤品,2016/10/1,2016/10/1
"121000","120000",运动户外用品,2016/10/1,2016/10/1
"121100","120000",办公设备/耗材,2016/10/1,2016/10/1
"121200","120000",文化艺术,2016/10/1,2016/10/1
"121201","121200",古玩收藏,2016/10/1,2016/10/1
"121202","121200",艺术品/画廊,2016/10/1,2016/10/1
"121203","121200",瓷器,2016/10/1,2016/10/1
"121204","121200",乐器,2016/10/1,2016/10/1
"121205","121200",其他,2016/10/1,2016/10/1
"121300","120000",文印图文,2016/10/1,2016/10/1
"121400","120000",书店/书城,2016/10/1,2016/10/1
"121500","120000",鲜花/盆栽,2016/10/1,2016/10/1
"121600","120000",烟花爆竹,2016/10/1,2016/10/1
"121700","120000",五金工具/机械设备,2016/10/1,2016/10/1
"121800","120000",成人用品,2016/10/1,2016/10/1
"121900","120000",其他,2016/10/1,2016/10/1
"130000","100000",休闲娱乐,2016/10/1,2016/10/1
"130100","130000",游乐游艺,2016/10/1,2016/10/1
"130101","130100",电玩,2016/10/1,2016/10/1
"130102","130100",游戏厅,2016/10/1,2016/10/1
"130103","130100",体验馆,2016/10/1,2016/10/1
"130104","130100",游艺厅,2016/10/1,2016/10/1
"130105","130100",游艺室,2016/10/1,2016/10/1
"130106","130100",其他,2016/10/1,2016/10/1
"130200","130000",电影演出,2016/10/1,2016/10/1
"130201","130200",电影院,2016/10/1,2016/10/1
"130202","130200",剧院,2016/10/1,2016/10/1
"130203","130200",展览/展会,2016/10/1,2016/10/1
"130204","130200",其他,2016/10/1,2016/10/1
"130300","130000",户外拓展,2016/10/1,2016/10/1
"130301","130300",CS拓展,2016/10/1,2016/10/1
"130302","130300",拓展训练,2016/10/1,2016/10/1
"130303","130300",采摘,2016/10/1,2016/10/1
"130304","130300",其他,2016/10/1,2016/10/1
